 _____________________________________________________________________________
                                                                              
         /                                                             ,      
 ----__-/----__----__------__---__--_/_---)__----__----__---_--_-----------__-
   /   /   /___) /___)   /   ) (_ ` /    /   ) /___) /   ) / /  )    /   /   )
 _(___/___(___ _(___ ___/___/_(__)_(_ __/_____(___ _(___(_/_/__/__o_/___(___/_
                       /                                                      
                      /                                                       
=============================== STARTING... ==================================
INFO | messageConnector ready
INFO | storage ready
INFO | cache ready
INFO | logger ready
INFO | Listening for browser connections on 0.0.0.0:6025
INFO | Listening for tcp connections on localhost:6005
INFO | Deepstream started
started server on 6005
INCOMING_CONNECTION | from 127.0.0.1:55784 via tcp
AUTH_SUCCESSFUL | open
INCOMING_CONNECTION | from 127.0.0.1:55785 via tcp
AUTH_SUCCESSFUL | open
INCOMING_CONNECTION | from 127.0.0.1:55787 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55788 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55789 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55790 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55791 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55792 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55794 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55796 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55797 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55798 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55799 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55800 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55801 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55802 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55803 via tcp
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
INCOMING_CONNECTION | from 127.0.0.1:55809 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55810 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55811 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55814 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55815 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55816 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55817 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55821 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55823 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55824 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55826 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55830 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55831 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55832 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55838 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55839 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55840 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55841 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55842 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55843 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55845 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55846 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55847 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55851 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55852 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55853 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55856 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55857 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55861 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55865 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55866 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55868 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55871 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55872 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55874 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55880 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55882 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55883 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55888 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55890 via tcp
INCOMING_CONNECTION | from 127.0.0.1:55891 via tcp
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
