 _____________________________________________________________________________
                                                                              
         /                                                             ,      
 ----__-/----__----__------__---__--_/_---)__----__----__---_--_-----------__-
   /   /   /___) /___)   /   ) (_ ` /    /   ) /___) /   ) / /  )    /   /   )
 _(___/___(___ _(___ ___/___/_(__)_(_ __/_____(___ _(___(_/_/__/__o_/___(___/_
                       /                                                      
                      /                                                       
=============================== STARTING... ==================================
INFO | messageConnector ready
INFO | storage ready
INFO | cache ready
INFO | logger ready
INFO | Listening for browser connections on 0.0.0.0:6026
INFO | Listening for tcp connections on localhost:6006
INFO | Deepstream started
started server on 6006
INCOMING_CONNECTION | from 127.0.0.1:39078 via tcp
AUTH_SUCCESSFUL | open
INCOMING_CONNECTION | from 127.0.0.1:39085 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39087 via tcp
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
INCOMING_CONNECTION | from 127.0.0.1:39096 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39097 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39098 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39099 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39100 via tcp
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
INCOMING_CONNECTION | from 127.0.0.1:39104 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39110 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39111 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39112 via tcp
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
INCOMING_CONNECTION | from 127.0.0.1:39114 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39117 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39119 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39120 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39125 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39126 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39127 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39129 via tcp
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
INCOMING_CONNECTION | from 127.0.0.1:39136 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39140 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39141 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39142 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39147 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39151 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39152 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39154 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39156 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39159 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39161 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39162 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39165 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39167 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39169 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39173 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39176 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39178 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39181 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39184 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39186 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39188 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39189 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39190 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39195 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39196 via tcp
INCOMING_CONNECTION | from 127.0.0.1:39197 via tcp
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
AUTH_SUCCESSFUL | open
